label,url,filepath,width,height
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5fmPDWGfeHedaKN8x2KdAWvAaTIpRQ0LmOAGUvXh9stgMilXULjye_87R&s,image_dataset\cats\cats_1.jpeg,46,47
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1xaoHDNjy-h4ovzANs8J7ljUQB4x0gJfJQmpqdEb28JekV46E7TjXwrtg&s,image_dataset\cats\cats_2.jpeg,69,46
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLUxEgNu9bh03gbT0lZEcZrtjLeXEwC_jApGVcXtVKQ_t5dPtvyKjJZ8Hc&s,image_dataset\cats\cats_3.jpeg,77,46
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIAAMh1ztNH_0758uUdZtunB_D47K0853dAg&s,image_dataset\cats\cats_4.jpeg,275,183
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJyMj8zPksmoCXVdMSxAcsY3m0eKJSefDQVA&s,image_dataset\cats\cats_5.jpeg,275,183
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAkyaZRHWVvU4mdT347JhED5-bWqo5ULi5mg&s,image_dataset\cats\cats_6.jpeg,431,117
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSztReMuWeE9M_Ck6B5SUWgxdxmDfaIuJLw5g&s,image_dataset\cats\cats_7.jpeg,275,183
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6T6ig07FB2SosBXLn2tTV5s9rC6HoxTIxwQ&s,image_dataset\cats\cats_8.jpeg,224,225
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkkNddrOpv7Ya4aSrC3yMJzEBISrJWNi9wvw&s,image_dataset\cats\cats_9.jpeg,274,184
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9jfp_3SK2bUyVUxdEhgrxfeaABTjii5gkiw&s,image_dataset\cats\cats_10.jpeg,299,168
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1C8HMDleZTQG44cEo86g3_3JCmEoT9MdQ9g&s,image_dataset\cats\cats_11.jpeg,300,168
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxBymMG_TfIXTIIRRhRJJiI5b2t5nKYabERw&s,image_dataset\cats\cats_12.jpeg,194,259
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyhpXHs_TAo5Zr8tR8wSsVBi_fwgefFxwnw&s,image_dataset\cats\cats_13.jpeg,360,140
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXdsbCB3krnF1GVou2QjDiecGBBGIUq3Zj9w&s,image_dataset\cats\cats_14.jpeg,170,297
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtAFjFXa2l5hCRKEaTr-jP7Hsz5k-UdddIMg&s,image_dataset\cats\cats_15.jpeg,300,168
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTp7r1vxYrkvZIiM3b61XbU_PElcHFVA2sK8w&s,image_dataset\cats\cats_16.jpeg,194,259
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNSj-1voW7JrUD2OvrLKgSXUWDTBRyU-iKsQ&s,image_dataset\cats\cats_17.jpeg,275,183
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGnK6Dz9re3JRrKS1hr4bd2W3v6_SL1MB2LQ&s,image_dataset\cats\cats_18.jpeg,181,278
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-QCKkjwSHE9Kzr_avfXC9l42QXM-8qByw7Q&s,image_dataset\cats\cats_19.jpeg,275,183
cats,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSv4MTKxKMt1nmnb2So9o_eLOB84OLZN1pfmg&s,image_dataset\cats\cats_20.jpeg,360,140
