Station Name,Timestamp,Duration,File Path
KEXP,2025-03-10 00:17:12,46,audio_dataset\KEXP_1741545986.mp3
WNYC,2025-03-10 00:17:53,38,audio_dataset\WNYC_1741546034.mp3
BBC World Service,2025-03-10 00:18:29,31,audio_dataset\BBC_World_Service_1741546076.mp3
KEXP,2025-03-10 00:19:05,33,audio_dataset\KEXP_1741546112.mp3
NPR,2025-03-10 00:20:09,52,audio_dataset\NPR_1741546157.mp3
KEXP,2025-03-10 00:21:22,69,audio_dataset\KEXP_1741546213.mp3
KEXP,2025-03-10 00:22:30,65,audio_dataset\KEXP_1741546285.mp3
BBC World Service,2025-03-10 00:23:25,52,audio_dataset\BBC_World_Service_1741546353.mp3
WNYC,2025-03-10 00:24:26,56,audio_dataset\WNYC_1741546410.mp3
NPR,2025-03-10 00:25:31,59,audio_dataset\NPR_1741546471.mp3
NPR,2025-03-10 00:27:03,84,audio_dataset\NPR_1741546539.mp3
NPR,2025-03-10 00:28:09,61,audio_dataset\NPR_1741546627.mp3
WNYC,2025-03-10 00:29:21,67,audio_dataset\WNYC_1741546694.mp3
WNYC,2025-03-10 00:30:34,67,audio_dataset\WNYC_1741546766.mp3
WNYC,2025-03-10 00:31:25,46,audio_dataset\WNYC_1741546838.mp3
NPR,2025-03-10 00:32:26,55,audio_dataset\NPR_1741546891.mp3
KEXP,2025-03-10 00:33:22,48,audio_dataset\KEXP_1741546954.mp3
BBC World Service,2025-03-10 00:34:49,82,audio_dataset\BBC_World_Service_1741547006.mp3
WNYC,2025-03-10 00:36:10,79,audio_dataset\WNYC_1741547091.mp3
BBC World Service,2025-03-10 00:36:55,39,audio_dataset\BBC_World_Service_1741547175.mp3
NPR,2025-03-10 00:37:40,39,audio_dataset\NPR_1741547220.mp3
WNYC,2025-03-10 00:38:20,36,audio_dataset\WNYC_1741547263.mp3
NPR,2025-03-10 00:39:09,44,audio_dataset\NPR_1741547304.mp3
WNYC,2025-03-10 00:39:56,44,audio_dataset\WNYC_1741547352.mp3
KEXP,2025-03-10 00:40:14,49,audio_dataset\KEXP_1741547403.mp3
WNYC,2025-03-10 00:40:17,33,audio_dataset\WNYC_1741547417.mp3
WNYC,2025-03-10 00:40:20,34,audio_dataset\WNYC_1741547420.mp3
BBC World Service,2025-03-10 00:40:23,90,audio_dataset\BBC_World_Service_1741547423.mp3
WNYC,2025-03-10 00:40:28,76,audio_dataset\WNYC_1741547428.mp3
